;2018;;;2019;;2020;;;Total general
;SEXO;;;;;;;;
MUNICIPIO  EDAD;Hombre;Mujer;Indete.;Hombre;Mujer;Hombre;Mujer;Indete.;
AGUADAS;;;;;;;;;
14;;;;;;;1;;1
15;;;;;;1;;;1
16;1;1;;;;;;;2
17;;;;1;;;;;1
18;;;;1;;1;;;2
19;;;;;1;;;;1
23;1;;;2;;1;;;4
26;1;;;;;;;;1
27;;;;;;1;;;1
31;;1;;;;;;;1
33;1;;;;;;;;1
38;1;;;1;;;;;2
46;;;;;;1;;;1
48;;;;1;;;;;1
49;;;;1;;;;;1
50;;;;;;1;;;1
54;;;;;;1;;;1
55;;;;1;1;;;;2
59;;;;1;;;;;1
60;1;;;;1;;;;2
61;1;;;2;;1;;;4
63;1;1;;1;;1;1;;5
65;1;;;;;1;1;;3
67;1;;;2;;;1;;4
68;;;;;;;1;;1
69;;;;1;;;;;1
70;;;;;;;1;;1
71;;;;1;;;1;;2
72;;;;;1;;;;1
73;;;;2;;2;;;4
74;1;;;;;2;1;;4
75;;;;1;;1;1;;3
76;;;;2;;2;2;;6
77;;;;1;;;;;1
78;2;;;;2;1;;;5
79;;2;;;1;3;;;6
80;1;;;;1;1;;;3
81;;;;2;2;1;;;5
82;;;;2;1;1;1;;5
83;2;;;;;;;;2
84;1;2;;;;;1;;4
85;1;1;;1;1;2;;;6
86;1;1;;;;2;;;4
87;;1;;1;1;;;;3
88;3;;;;1;1;;;5
89;;;;1;;1;1;;3
90;1;;;1;1;1;1;;5
91;1;;;1;;;;;2
92;;;;1;2;;1;;4
93;;;;;1;;1;;2
94;1;;;;;;;;1
95;;1;;;;;2;;3
96;;1;;;2;;;;3
99;;;;;;1;;;1
CHINCHINA;;;;;;;;;
< 1año;;1;;1;;;1;;3
0;;;;;1;;;;1
1;1;;;1;1;;;;3
2;1;;;;;;;;1
4;;1;;;1;1;;;3
14;;;;;;1;;;1
15;1;;;1;;;;;2
17;1;;;1;;;;;2
18;1;1;;;;;;;2
19;1;;;;;;;;1
20;;;;2;;;;;2
21;1;;;;;1;;;2
22;;1;;1;;;;;2
23;4;;;1;1;2;;;8
24;2;;;;;2;;;4
25;1;;;1;;3;;;5
26;;1;;1;;4;1;;7
27;1;1;;3;;5;;;10
29;;;;1;1;2;;;4
30;3;1;;;1;;;;5
31;;1;;1;1;;;;3
32;;;;1;1;1;;;3
33;2;;;;1;1;;;4
34;1;2;;1;;;;;4
35;;1;;1;;;1;;3
37;1;1;;1;1;3;1;;8
38;1;;;1;;1;;;3
39;1;;;;;1;;;2
40;2;;;1;;1;;;4
41;1;;;;;;;;1
42;2;;;;;;;;2
43;;;;1;1;1;1;;4
44;;;;2;3;;;;5
45;1;;;;;1;;;2
46;;;;2;1;;;;3
47;;;;1;;1;;;2
48;5;2;;;1;;;;8
49;1;1;;1;1;1;;;5
50;1;;;1;;;1;;3
51;1;2;;;1;1;1;;6
52;4;;;3;1;1;;;9
53;;2;;3;1;1;;;7
54;2;;;2;3;2;;;9
55;3;1;;4;;1;;;9
56;2;1;;2;;;1;;6
57;5;;;3;;2;1;;11
58;1;;;1;1;1;;;4
59;;3;;5;3;5;;;16
60;3;2;;4;;3;;;12
61;4;2;;1;3;4;2;;16
62;4;2;;6;3;6;1;;22
63;6;2;;;3;4;2;;17
64;2;;;5;1;3;1;;12
65;5;2;;4;1;7;1;;20
66;6;1;;6;1;4;;;18
67;;2;;1;;6;3;;12
68;4;4;;5;3;1;4;;21
69;3;4;;1;5;6;;;19
70;9;1;;4;4;4;;;22
71;6;;;7;4;3;3;;23
72;3;1;;1;1;6;3;;15
73;4;6;;3;7;5;8;;33
74;5;2;;4;1;3;2;;17
75;5;6;;3;2;5;2;;23
76;6;2;;5;3;8;4;;28
77;2;4;;6;;4;3;;19
78;7;6;;5;4;4;3;;29
79;9;6;;4;4;5;;;28
80;9;2;;5;6;3;3;;28
81;3;1;;10;5;5;3;;27
82;4;2;;6;2;10;4;;28
83;6;2;;5;7;5;4;;29
84;8;4;;6;6;7;8;;39
85;6;4;;6;6;4;4;;30
86;6;5;;4;2;5;6;;28
87;2;8;;1;3;7;6;;27
88;6;7;;2;2;7;2;;26
89;2;7;;6;1;2;4;;22
90;5;7;;6;4;6;6;;34
91;5;5;;2;3;2;4;;21
92;2;3;;2;3;3;2;;15
93;3;2;;4;2;2;1;;14
94;3;2;;1;2;6;2;;16
95;;1;;2;1;1;3;;8
96;;1;;1;;1;1;;4
